time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,0.0,1.37768102049e-15,9.98233936624,6.28318530443,0.0,0.0,0.0,1.37768168879e-13,-0.588788144336,-1.37287522007e-07,0.0,0.0,497.76127727822,498.2295085579253,497.8968615912626,500.1093828841479
0.12000000000000001,0.0,2.6764151466e-13,9.92930962451,6.28318528521,0.0,0.0,0.0,1.55957184468e-11,-1.17927254626,-6.86437608548e-07,0.0,0.0,497.76127727822,498.2295085579253,497.8968615912626,500.1093828841479
0.18,0.0,6.07811787306e-12,9.84074748297,6.28318521932,0.0,0.0,0.0,2.51369558117e-10,-1.77350881573,-1.92202528938e-06,0.0,0.0,497.76127727822,498.2295085579253,497.8968615912626,500.1093828841479
0.23999999999999996,0.0,5.73569861884e-11,9.7163649817,6.28318506006,0.0,0.0,0.0,1.82968570678e-09,-2.37360127813,-4.11862554324e-06,0.0,0.0,497.76127727822,498.2295085579253,497.8968615912626,500.1093828841479
0.3,0.0,3.32044496821e-10,9.55574567484,6.2831847443,0.0,0.0,0.0,8.60549720156e-09,-2.98173307629,-7.55081321249e-06,0.0,0.0,497.76127727822,498.2295085579253,497.8968615912626,500.1093828841479
0.36000000000000004,0.0,1.40651466024e-09,9.35833894206,6.28318419241,0.0,0.0,0.0,3.06836024427e-08,-3.60019856576,-1.24931628507e-05,0.0,0.0,497.76127727822,498.2295085579253,497.8968615912626,500.1093828841479
0.4200000000000001,0.0,4.79623324452e-09,9.12345226122,6.28318330829,0.0,0.0,0.0,9.03602995742e-08,-4.23143904458,-1.92202484825e-05,0.0,0.0,497.76127727822,498.2295085579253,497.8968615912626,500.1093828841479
0.48000000000000015,0.0,1.39477972823e-08,8.85024120669,6.28318197936,0.0,0.0,0.0,2.31373502695e-07,-4.87808303319,-2.80066432564e-05,0.0,0.0,497.76127727822,498.2295085579253,497.8968615912626,500.1093828841479
0.5400000000000001,0.0,3.59130224852e-08,8.53769685763,6.28318007657,0.0,0.0,0.0,5.32572830885e-07,-5.54299256807,-3.91269189695e-05,0.0,0.0,497.76127727822,498.2295085579253,497.8968615912626,500.1093828841479
0.6000000000000002,0.0,8.40114651981e-08,8.18463020295,6.28317745442,0.0,0.0,0.0,1.12743733316e-06,-6.22931731362,-5.28556454443e-05,0.0,0.0,497.76127727822,498.2295085579253,497.8968615912626,500.1093828841479
0.6600000000000003,0.0,1.81885902268e-07,7.78965300839,6.28317395089,0.0,0.0,0.0,2.23130524286e-06,-6.9405587623,-6.94673897379e-05,0.0,0.0,497.76127727822,498.2295085579253,497.8968615912626,500.1093828841479
0.7200000000000003,0.0,3.69484398331e-07,7.35115445633,6.28316938752,0.0,0.0,0.0,4.17878398775e-06,-7.68064742631,-8.92367151622e-05,0.0,0.0,497.76127727822,498.2295085579253,497.8968615912626,500.1093828841479
0.7800000000000004,0.0,7.11674615349e-07,6.86727267046,6.28316356938,0.0,0.0,0.0,7.4746475738e-06,-8.45403678814,-0.000112438180097,0.0,0.0,497.76127727822,498.2295085579253,497.8968615912626,500.1093828841479
0.8400000000000004,0.0,1.31042789699e-06,6.33585997725,6.28315628505,0.0,0.0,0.0,1.28627025497e-05,-9.26581896407,-0.000139346336573,0.0,0.0,497.76127727822,498.2295085579253,497.8968615912626,500.1093828841479
0.9000000000000005,0.0,2.32182670963e-06,5.75444041203,6.28314730664,0.0,0.0,0.0,2.14187621694e-05,-10.1218686778,-0.000170235728607,0.0,0.0,497.76127727822,498.2295085579253,497.8968615912626,500.1093828841479
0.9600000000000005,0.0,3.97958463339e-06,5.1201575164,6.2831363898,0.0,0.0,0.0,3.46762360436e-05,-11.0290244414,-0.00020538089027,0.0,0.0,497.76127727822,498.2295085579253,497.8968615912626,500.1093828841479
1.0200000000000005,0.0,6.62737549034e-06,4.42970984682,6.28312327369,0.0,0.0,0.0,5.47962635615e-05,-11.9953190967,-0.000245056343462,0.0,0.0,497.76127727822,498.2295085579253,497.8968615912626,500.1093828841479
1.0800000000000005,0.0,1.07631255436e-05,3.67927075299,6.28310768104,0.0,0.0,0.0,8.47993280947e-05,-13.0302765435,-0.000289536595381,0.0,0.0,497.76127727822,498.2295085579253,497.8968615912626,500.1093828841479
1.1400000000000006,0.0,1.70996488506e-05,2.86438778206,6.28308931806,0.0,0.0,0.0,0.000128882729648,-14.1452982856,-0.000339096135665,0.0,0.0,497.76127727822,498.2295085579253,497.8968615912626,500.1093828841479
1.2000000000000006,0.0,2.66477845553e-05,1.97985536288,6.28306787452,0.0,0.0,0.0,0.000192859524371,-15.3541734933,-0.000394009433175,0.0,0.0,497.76127727822,498.2295085579253,497.8968615912626,500.1093828841479
1.2600000000000007,0.0,4.08308154508e-05,1.01955197571,6.28304302374,0.0,0.0,0.0,0.000284771789352,-16.6737614469,-0.000454550932425,0.0,0.0,497.76127727822,498.2295085579253,497.8968615912626,500.1093828841479
1.3200000000000007,0.0,6.16428741553e-05,0.0,6.28301442253,0.0,0.0,0.0,0.000415758080277,-18.1249185103,-0.000520995049604,0.0,0.0,497.76127727822,498.2295085579253,497.8968615912626,500.1093828841479
0.06,0.0,7.19908278667e-13,9.98233950914,6.28318385556,0.0,0.0,0.0,7.20119453981e-11,-0.588783379371,-7.26250861033e-05,0.0,0.0,497.76127727822,498.2295085579253,497.8968615912626,500.1093828841479
0.12000000000000001,0.0,1.27820813721e-10,9.92931020881,6.28317791754,0.0,0.0,0.0,6.90192726208e-09,-1.17926259132,-0.000151702561575,0.0,0.0,497.76127727822,498.2295085579253,497.8968615912626,500.1093828841479
0.18,0.0,1.9620620068e-09,9.84074883375,6.28316710053,0.0,0.0,0.0,7.02073702625e-08,-1.77349320821,-0.000237506820784,0.0,0.0,497.76127727822,498.2295085579253,497.8968615912626,500.1093828841479
